sp,h1_switch,h2_switch,h1_sensor,h2_sensor,q,h1_serial,h2_serial
10.3644,True,True,2.0809277654489953,9.995613450735677,21.5,2.97,10.37
10.3644,True,True,3.493724425189135,9.752729855969624,21.5,2.62,10.03
10.3644,True,True,3.4884183164528846,9.978877028167192,22.0,2.73,9.81
10.3644,True,True,3.4955474719322095,10.659091311824128,22.35,3.46,9.98
10.3644,True,True,2.109389390202134,11.387740397194131,22.1,3.53,10.63
10.3644,True,True,2.064293754624709,9.622703841277474,21.5,3.03,11.34
10.3644,True,True,2.8166861417629483,10.490919394947797,21.5,2.04,9.77
10.3644,True,True,3.8548372588534505,10.299762879180284,22.39,2.66,10.47
10.3644,True,True,2.991177901310908,10.072201551227753,21.5,3.2,10.34
10.3644,True,True,2.415910665292524,10.03173825960713,21.54,3.36,10.07
10.3644,True,True,4.243381578483,11.031963191283552,21.95,2.8,10.05
10.3644,True,True,3.2108969501542632,9.859216357971848,21.99,3.33,10.99
10.3644,True,True,3.5468737164846136,10.982893626125382,21.5,3.49,9.92
10.3644,True,True,3.433494941663097,10.84703853749629,22.18,3.47,10.91
10.3644,True,True,2.8124312556589217,11.53719899138777,21.5,3.4,10.85
10.3644,True,True,2.264523973611469,9.939675512498638,21.5,3.23,11.47
10.3644,True,True,3.3832322859588,11.181144135261814,21.5,2.44,10.05
10.3644,True,True,2.934863534260496,10.659199908906585,21.98,2.98,11.12
10.3644,True,True,3.4401506854395656,9.57076801218003,21.5,3.09,10.68
10.3644,True,True,2.9526944954310794,9.779895499145246,21.5,2.96,9.65
10.3644,True,True,3.306575170947706,9.976604041342421,22.57,3.24,9.77
10.3644,True,True,2.3004514033802828,10.721339861698816,22.4,3.16,10.0
10.3644,True,True,3.1825712473812664,10.677111196683493,22.06,3.04,10.69
10.3644,True,True,3.800723358977814,10.292775447423292,21.5,2.75,10.7
10.3644,True,True,3.763108084939178,10.131814138691702,21.5,3.3,10.31
10.3644,True,True,3.257594788330708,9.374786673014006,21.59,3.61,10.13
10.3644,True,True,3.1153978799804896,10.15287511931349,21.87,3.34,9.43
10.3644,True,True,2.6524896051737423,10.956138564914001,22.93,3.31,10.12
10.3644,True,True,2.617480940172844,10.279840380557369,21.9,3.09,10.94
10.3644,True,True,2.881760530497449,10.115636097475281,21.5,2.62,10.34
10.3644,True,True,3.5496987381313394,9.77151421624645,21.56,2.76,10.14
10.3644,True,True,3.154143442815528,10.667374450670756,21.86,3.09,9.81
10.3644,True,True,3.60383317361386,10.813834732847091,22.37,3.47,10.61
10.3644,True,True,4.09769367923856,10.202513350350877,21.5,3.32,10.82
