q,h1_sensor,h1_serial,h2_sensor,h2_serial,h1_switch,h2_switch
21.5,2.211346585810327,2.97,10.495148165819348,10.37,True,True
21.5,3.782506545841206,2.73,10.201281867599562,10.49,True,True
21.5,2.8941085823605635,2.86,10.450303751030143,10.24,True,True
21.5,3.4261035076825084,3.36,9.879841183218069,10.42,True,True
21.5,2.8773613906338653,3.01,11.023886324954264,9.93,True,True
21.5,4.190150492361484,3.31,10.122535214011299,10.95,True,True
21.5,3.509704949975582,3.22,10.237934054518469,10.18,True,True
21.5,3.0345954953310987,3.75,11.067942818609355,10.21,True,True
21.5,3.0840449062665827,3.36,10.246873141674383,11.0,True,True
21.5,3.767029707015233,2.92,11.039682798820044,10.29,True,True
21.5,2.437928024108806,3.42,10.428382333780252,10.99,True,True
21.5,3.385767329329274,3.07,10.763125924168369,10.44,True,True
21.5,2.6448462869112377,2.92,10.92358835186093,10.75,True,True
21.5,3.3117239591230616,3.07,10.105325981732127,10.9,True,True
21.5,2.6703671524040233,2.83,10.55075040456573,10.16,True,True
21.5,3.9531341302150267,3.09,10.647922259352752,10.52,True,True
21.5,3.9117626354614603,3.19,11.08489555270302,10.65,True,True
21.5,2.5655695250523696,3.83,10.587915499343259,11.04,True,True
21.5,3.7211647389931946,3.2,9.77136639320974,10.59,True,True
21.5,2.915703231908935,2.93,10.238905636199952,9.84,True,True
21.5,2.822782582719808,3.36,11.38764814558821,10.2,True,True
21.5,2.2168256071349384,3.06,10.317885451512403,11.31,True,True
21.5,2.635029317113359,2.5,10.19606248709666,10.38,True,True
21.5,2.8128198494193084,2.5,10.713618027296882,10.23,True,True
21.5,2.981552351206262,2.84,10.29813942238165,10.69,True,True
21.5,2.434556824663642,2.84,11.318499489819452,10.33,True,True
21.5,3.9844120413098243,2.94,9.808310410335745,11.25,True,True
21.5,2.9289996990126594,2.86,10.55419140802499,9.92,True,True
21.5,2.493957777926521,3.53,11.043224672459319,10.49,True,True
21.5,3.470367488186472,2.86,10.25650647807713,11.01,True,True
21.5,3.3886279425217083,2.82,11.274957979311553,10.31,True,True
21.5,2.5597687520147425,3.5,10.370150122808308,11.2,True,True
21.5,4.057215478980572,2.89,10.830389422178683,10.41,True,True
21.5,3.808755857783739,3.23,10.646305764822253,10.81,True,True
21.5,2.894551598574693,3.75,10.60700620542285,10.63,True,True
21.5,3.4842950730670754,3.33,10.347051851663819,10.59,True,True
21.5,2.8901656813091483,3.08,10.735530221567664,10.36,True,True
21.5,3.4315756415617593,3.24,10.229124787769592,10.7,True,True
21.5,2.3891440514231443,3.02,9.884430771392068,10.26,True,True
21.5,3.212471428943713,2.93,10.631297505841083,9.91,True,True
21.5,2.5841013207006474,2.9,10.778930435282245,10.6,True,True
21.5,2.957947835732964,2.97,10.267232062938383,10.76,True,True
21.5,3.1600834642263713,2.72,10.32569681085836,10.31,True,True
21.5,2.3225244033252563,3.04,9.693515376812716,10.33,True,True
21.5,3.1072159640861767,2.75,10.5438059021989,9.74,True,True
21.5,2.3344651864973,2.84,10.361333213009898,10.51,True,True
21.5,2.6375526492955736,2.79,10.553998884667322,10.37,True,True
21.5,2.7098331096865085,2.6,9.700319300192438,10.56,True,True
21.5,3.239930554840791,2.61,10.139477863937048,9.78,True,True
21.5,2.399197562589097,3.01,10.082315372164977,10.13,True,True
21.5,2.384379391855629,2.89,10.452181804793062,10.09,True,True
21.5,3.694190998705559,2.56,11.016894188061402,10.45,True,True
21.5,3.885348150957303,3.03,11.280837675799722,10.99,True,True
21.5,3.044204215044846,3.68,9.99332381081463,11.24,True,True
21.5,2.8865400525180287,3.24,9.961135924865063,10.05,True,True
21.5,2.729409721234955,2.97,10.78866428409892,9.97,True,True
21.5,3.606010245152955,2.97,9.956139164445377,10.74,True,True
21.5,3.3495376258664438,2.96,10.154777043110549,10.02,True,True
21.5,1.4488254266537726,3.42,9.991260589381175,10.14,True,True
21.5,2.536924657163807,2.6,11.189568581465908,10.01,True,True
21.5,3.3560329601515813,2.31,10.621283598559966,11.15,True,True
